frame_number,vehicle_id,speed,license_plate,license_plate_confidence,is_overspeed,x1,y1,x2,y2,confidence,vehicle_class,timestamp
3,2,28.58,N/A,0.0,False,562,119,595,149,0.59,car,0.10344827586206896
3,2,28.58,N/A,0.0,False,536,122,558,146,0.51,car,0.10344827586206896
4,1,22.15,N/A,0.0,False,180,68,454,273,0.8,car,0.13793103448275862
4,2,28.58,N/A,0.0,False,563,119,595,149,0.67,car,0.13793103448275862
4,2,28.58,N/A,0.0,False,536,120,559,146,0.55,car,0.13793103448275862
5,1,22.15,N/A,0.0,False,181,68,454,273,0.8,car,0.1724137931034483
5,2,30.51,N/A,0.0,False,563,119,595,149,0.69,car,0.1724137931034483
5,2,30.51,N/A,0.0,False,537,120,559,146,0.52,car,0.1724137931034483
6,1,22.15,N/A,0.0,False,180,67,454,273,0.79,car,0.20689655172413793
6,2,30.51,N/A,0.0,False,563,118,595,149,0.65,car,0.20689655172413793
6,2,30.51,N/A,0.0,False,537,121,559,146,0.5,car,0.20689655172413793
7,1,22.15,N/A,0.0,False,180,66,455,274,0.8,car,0.2413793103448276
7,2,30.51,N/A,0.0,False,564,118,595,149,0.74,car,0.2413793103448276
7,2,30.51,N/A,0.0,False,538,123,559,146,0.54,car,0.2413793103448276
8,1,22.15,N/A,0.0,False,181,66,455,274,0.81,car,0.27586206896551724
8,2,30.51,N/A,0.0,False,564,118,596,149,0.76,car,0.27586206896551724
8,2,30.51,N/A,0.0,False,538,122,560,146,0.55,car,0.27586206896551724
9,2,30.51,N/A,0.0,False,565,119,596,149,0.78,car,0.3103448275862069
9,1,22.15,N/A,0.0,False,181,67,456,274,0.77,car,0.3103448275862069
9,2,30.51,N/A,0.0,False,539,121,560,146,0.52,car,0.3103448275862069
10,1,22.15,N/A,0.0,False,181,67,456,274,0.79,car,0.3448275862068966
10,2,30.51,N/A,0.0,False,566,119,595,150,0.72,car,0.3448275862068966
10,2,30.51,N/A,0.0,False,539,121,561,146,0.55,car,0.3448275862068966
11,1,22.15,N/A,0.0,False,181,67,456,274,0.82,car,0.3793103448275862
11,2,30.51,N/A,0.0,False,566,119,596,149,0.7,car,0.3793103448275862
12,1,22.15,N/A,0.0,False,181,67,456,273,0.81,car,0.41379310344827586
12,2,30.51,N/A,0.0,False,566,120,596,149,0.65,car,0.41379310344827586
13,1,22.15,N/A,0.0,False,181,66,457,273,0.8,car,0.4482758620689655
13,2,30.51,N/A,0.0,False,567,120,596,149,0.67,car,0.4482758620689655
14,1,22.15,N/A,0.0,False,181,65,458,273,0.81,car,0.4827586206896552
14,2,30.51,N/A,0.0,False,568,120,596,149,0.71,car,0.4827586206896552
15,1,22.15,N/A,0.0,False,181,65,459,273,0.8,car,0.5172413793103449
15,2,28.0,N/A,0.0,False,568,121,595,149,0.67,car,0.5172413793103449
15,2,26.25,N/A,0.0,False,541,122,563,146,0.5,car,0.5172413793103449
16,1,22.15,N/A,0.0,False,181,65,459,272,0.76,car,0.5517241379310345
16,2,25.02,N/A,0.0,False,569,121,595,149,0.68,car,0.5517241379310345
16,2,24.16,N/A,0.0,False,541,121,565,146,0.5,car,0.5517241379310345
17,1,22.15,N/A,0.0,False,182,65,459,272,0.71,car,0.5862068965517241
17,2,23.55,N/A,0.0,False,569,123,595,149,0.66,car,0.5862068965517241
17,2,23.55,N/A,0.0,False,542,119,565,146,0.5,car,0.5862068965517241
18,2,23.55,N/A,0.0,False,570,121,595,149,0.65,car,0.6206896551724138
18,1,22.15,N/A,0.0,False,182,64,460,272,0.63,car,0.6206896551724138
19,1,22.15,N/A,0.0,False,182,64,460,273,0.68,car,0.6551724137931034
19,2,23.55,N/A,0.0,False,570,123,595,149,0.6,car,0.6551724137931034
20,1,22.15,N/A,0.0,False,180,64,460,271,0.7,car,0.6896551724137931
20,2,23.55,N/A,0.0,False,570,121,595,149,0.56,car,0.6896551724137931
21,1,22.15,N/A,0.0,False,180,63,461,271,0.69,car,0.7241379310344828
21,2,30.58,N/A,0.0,False,570,128,595,149,0.58,car,0.7241379310344828
22,1,22.15,N/A,0.0,False,181,63,461,272,0.74,car,0.7586206896551724
22,2,35.5,N/A,0.0,False,570,128,595,149,0.53,car,0.7586206896551724
23,1,22.15,N/A,0.0,False,181,63,461,272,0.72,car,0.7931034482758621
24,1,22.15,N/A,0.0,False,179,63,461,271,0.72,car,0.8275862068965517
24,2,38.94,N/A,0.0,False,571,128,595,149,0.51,car,0.8275862068965517
25,1,22.15,0981x722,0.0,False,181,63,461,273,0.72,car,0.8620689655172413
25,2,41.36,N/A,0.0,False,545,122,567,146,0.52,car,0.8620689655172413
25,2,43.04,N/A,0.0,False,571,128,595,149,0.51,car,0.8620689655172413
26,1,23.52,0981x722,0.0,False,180,62,462,271,0.71,car,0.896551724137931
26,2,43.04,N/A,0.0,False,545,122,567,146,0.54,car,0.896551724137931
26,2,43.04,N/A,0.0,False,572,128,595,149,0.51,car,0.896551724137931
27,1,24.49,0981x722,0.0,False,180,62,462,271,0.68,car,0.9310344827586207
27,2,43.04,N/A,0.0,False,545,122,567,146,0.55,car,0.9310344827586207
27,2,43.04,N/A,0.0,False,572,127,595,149,0.5,car,0.9310344827586207
28,1,25.16,0981x722,0.0,False,180,62,462,271,0.69,car,0.9655172413793104
28,2,43.04,N/A,0.0,False,573,127,595,149,0.53,car,0.9655172413793104
28,2,43.04,N/A,0.0,False,546,122,567,146,0.53,car,0.9655172413793104
29,1,25.63,0981x722,0.0,False,180,62,462,271,0.79,car,1.0
29,2,43.04,N/A,0.0,False,546,122,568,146,0.55,car,1.0
29,2,43.04,N/A,0.0,False,573,129,595,149,0.53,car,1.0
30,1,27.34,N/A,0.0,False,180,61,462,272,0.74,car,1.0344827586206897
30,2,43.04,N/A,0.0,False,573,129,595,149,0.56,car,1.0344827586206897
30,2,43.04,N/A,0.0,False,546,122,568,146,0.55,car,1.0344827586206897
31,1,27.34,0981x722,0.0,False,179,61,463,272,0.73,car,1.0689655172413792
31,2,43.04,N/A,0.0,False,574,129,595,149,0.55,car,1.0689655172413792
31,2,43.04,N/A,0.0,False,547,120,568,145,0.53,car,1.0689655172413792
32,1,27.34,0981x722,0.0,False,180,61,462,273,0.72,car,1.103448275862069
32,2,43.04,N/A,0.0,False,574,128,595,149,0.55,car,1.103448275862069
