frame_number,vehicle_id,speed,license_plate,is_overspeed,x1,y1,x2,y2,confidence
19,1,66.9,N/A,True,743,98,791,136,0.62
20,1,70.75,N/A,True,748,101,796,137,0.7
21,1,72.76,N/A,True,750,102,799,143,0.83
22,1,74.17,N/A,True,750,102,798,143,0.83
23,1,74.63,N/A,True,750,104,800,145,0.87
24,1,76.06,N/A,True,755,105,804,149,0.77
25,1,75.73,N/A,True,755,109,808,153,0.77
25,2,57.17,N/A,False,688,115,730,155,0.51
26,1,77.54,N/A,True,757,113,812,158,0.68
26,2,60.21,N/A,True,689,118,734,161,0.63
27,1,79.15,N/A,True,758,117,815,162,0.69
27,2,64.78,N/A,True,690,122,735,166,0.56
28,1,83.22,N/A,True,758,117,815,162,0.69
28,2,67.97,N/A,True,690,122,736,166,0.57
29,1,87.29,N/A,True,760,120,819,168,0.79
29,2,72.98,N/A,True,691,127,737,169,0.71
30,1,88.86,N/A,True,760,122,823,172,0.77
30,2,78.68,N/A,True,692,131,738,175,0.73
31,2,84.0,N/A,True,694,134,741,182,0.8
31,1,94.09,N/A,True,765,127,830,178,0.7
32,1,103.02,N/A,True,776,131,832,182,0.77
32,2,82.32,N/A,True,695,136,742,182,0.74
33,1,107.83,N/A,True,775,135,835,188,0.79
33,2,82.43,N/A,True,694,141,745,188,0.72
34,1,111.56,N/A,True,775,135,835,188,0.79
34,2,82.66,N/A,True,694,141,745,188,0.72
35,1,118.28,N/A,True,780,138,841,193,0.82
35,2,86.02,N/A,True,695,145,748,198,0.76
36,2,83.74,N/A,True,696,148,749,198,0.67
36,1,122.99,N/A,True,784,143,846,199,0.66
37,1,125.62,N/A,True,786,148,851,208,0.82
37,2,92.18,N/A,True,697,155,752,207,0.79
38,2,98.51,N/A,True,699,161,753,212,0.8
38,1,132.61,N/A,True,792,153,858,214,0.71
39,2,103.29,N/A,True,700,166,755,218,0.71
39,1,137.04,N/A,True,795,159,863,220,0.68
40,2,107.77,N/A,True,699,172,759,229,0.76
40,1,141.09,N/A,True,798,163,868,227,0.58
40,3,27.58,N/A,False,678,72,717,103,0.51
41,2,116.49,N/A,True,699,172,759,229,0.76
41,1,143.75,N/A,True,798,163,868,228,0.59
41,3,27.58,N/A,False,678,72,717,103,0.51
42,2,120.87,N/A,True,699,178,761,237,0.78
42,1,146.88,N/A,True,804,169,875,234,0.64
43,2,124.95,N/A,True,699,183,763,244,0.78
43,1,147.66,N/A,True,808,176,881,244,0.68
43,3,30.93,N/A,False,677,74,719,110,0.51
44,2,129.36,N/A,True,701,191,767,257,0.82
44,3,32.17,N/A,False,678,76,720,111,0.62
44,1,149.45,N/A,True,812,183,890,256,0.61
45,3,35.05,N/A,False,676,79,721,113,0.73
45,1,152.46,N/A,True,815,190,897,261,0.64
45,2,132.44,N/A,True,702,199,770,265,0.64
46,3,39.15,N/A,False,679,80,722,116,0.82
46,2,134.6,N/A,True,703,206,774,282,0.68
46,1,154.57,N/A,True,820,197,904,276,0.65
47,3,42.02,N/A,False,679,80,722,115,0.82
47,2,136.29,N/A,True,703,206,774,282,0.68
