frame_number,vehicle_id,speed,license_plate,is_overspeed,x1,y1,x2,y2,confidence
19,1,57.98,N/A,False,743,98,791,136,0.62
20,1,61.32,N/A,True,748,101,796,137,0.7
21,1,63.06,N/A,True,750,102,799,143,0.83
22,1,64.28,N/A,True,750,102,798,143,0.83
23,1,64.68,N/A,True,750,104,800,145,0.87
24,1,65.92,N/A,True,755,105,804,149,0.77
25,1,65.63,N/A,True,755,109,808,153,0.77
25,2,49.55,N/A,False,688,115,730,155,0.51
26,1,67.2,N/A,True,757,113,812,158,0.68
26,2,52.18,N/A,False,689,118,734,161,0.63
27,1,68.6,N/A,True,758,117,815,162,0.69
27,2,56.14,N/A,False,690,122,735,166,0.56
28,1,72.12,N/A,True,758,117,815,162,0.69
28,2,58.91,N/A,False,690,122,736,166,0.57
29,1,75.65,N/A,True,760,120,819,168,0.79
29,2,63.25,N/A,True,691,127,737,169,0.71
30,1,77.01,N/A,True,760,122,823,172,0.77
30,2,68.19,N/A,True,692,131,738,175,0.73
31,2,72.8,N/A,True,694,134,741,182,0.8
31,1,81.54,N/A,True,765,127,830,178,0.7
32,1,89.28,N/A,True,776,131,832,182,0.77
32,2,71.35,N/A,True,695,136,742,182,0.74
33,1,93.45,N/A,True,775,135,835,188,0.79
33,2,71.44,N/A,True,694,141,745,188,0.72
34,1,96.69,N/A,True,775,135,835,188,0.79
34,2,71.64,N/A,True,694,141,745,188,0.72
35,1,102.51,N/A,True,780,138,841,193,0.82
35,2,74.55,N/A,True,695,145,748,198,0.76
36,2,72.58,N/A,True,696,148,749,198,0.67
36,1,106.59,N/A,True,784,143,846,199,0.66
37,1,108.87,N/A,True,786,148,851,208,0.82
37,2,79.89,N/A,True,697,155,752,207,0.79
38,2,85.38,N/A,True,699,161,753,212,0.8
38,1,114.93,N/A,True,792,153,858,214,0.71
39,2,89.52,N/A,True,700,166,755,218,0.71
39,1,118.77,N/A,True,795,159,863,220,0.68
40,2,93.4,N/A,True,699,172,759,229,0.76
40,1,122.28,N/A,True,798,163,868,227,0.58
40,3,23.9,N/A,False,678,72,717,103,0.51
41,2,100.96,N/A,True,699,172,759,229,0.76
41,1,124.58,N/A,True,798,163,868,228,0.59
41,3,23.9,N/A,False,678,72,717,103,0.51
42,2,104.75,N/A,True,699,178,761,237,0.78
42,1,127.3,N/A,True,804,169,875,234,0.64
43,2,108.29,N/A,True,699,183,763,244,0.78
43,1,131.36,N/A,True,808,176,881,244,0.68
43,3,26.8,N/A,False,677,74,719,110,0.51
44,2,117.54,N/A,True,701,191,767,257,0.82
44,3,27.88,N/A,False,678,76,720,111,0.62
