frame_number,vehicle_id,speed,license_plate,license_plate_confidence,is_overspeed,x1,y1,x2,y2,confidence,vehicle_class,timestamp
7,1,145.66,N/A,0.0,True,858,64,963,163,0.6,car,0.2413793103448276
8,1,142.17,N/A,0.0,True,861,68,969,168,0.55,car,0.27586206896551724
11,1,141.05,N/A,0.0,True,874,84,995,196,0.54,car,0.3793103448275862
12,1,141.95,N/A,0.0,True,881,90,1001,207,0.56,car,0.41379310344827586
13,1,143.57,N/A,0.0,True,885,95,1010,215,0.51,car,0.4482758620689655
15,1,146.65,N/A,0.0,True,894,110,1030,241,0.69,car,0.5172413793103449
17,1,152.03,N/A,0.0,True,907,124,1055,265,0.59,car,0.5862068965517241
18,1,157.08,N/A,0.0,True,914,133,1065,279,0.61,car,0.6206896551724138
19,1,160.97,N/A,0.0,True,919,143,1079,293,0.7,car,0.6551724137931034
20,1,171.41,N/A,0.0,True,927,148,1093,308,0.73,car,0.6896551724137931
21,1,171.41,N/A,0.0,True,936,155,1110,324,0.67,car,0.7241379310344828
22,1,171.41,N/A,0.0,True,944,169,1127,343,0.74,car,0.7586206896551724
23,1,171.41,N/A,0.0,True,952,179,1144,364,0.78,car,0.7931034482758621
24,1,171.41,N/A,0.0,True,962,191,1165,388,0.78,car,0.8275862068965517
25,1,171.41,N/A,0.0,True,973,205,1189,411,0.76,car,0.8620689655172413
26,1,171.41,N/A,0.0,True,986,218,1216,436,0.67,car,0.896551724137931
27,1,171.41,N/A,0.0,True,999,236,1242,469,0.66,car,0.9310344827586207
109,4,22.15,N/A,0.0,False,73,0,150,38,0.55,car,3.7586206896551726
110,4,22.15,N/A,0.0,False,72,0,150,38,0.57,car,3.793103448275862
111,4,22.15,N/A,0.0,False,75,1,150,38,0.59,car,3.8275862068965516
112,4,22.15,N/A,0.0,False,77,1,150,40,0.63,car,3.8620689655172415
113,4,22.15,N/A,0.0,False,76,1,149,41,0.65,car,3.896551724137931
114,4,22.15,N/A,0.0,False,76,1,149,41,0.66,car,3.9310344827586206
115,4,22.15,N/A,0.0,False,78,2,149,43,0.6,car,3.9655172413793105
116,4,22.15,N/A,0.0,False,78,3,149,43,0.62,car,4.0
117,4,22.15,N/A,0.0,False,78,3,149,43,0.65,car,4.0344827586206895
118,4,22.15,N/A,0.0,False,78,3,149,43,0.63,car,4.068965517241379
119,4,22.15,N/A,0.0,False,78,3,151,45,0.6,car,4.103448275862069
120,4,22.15,N/A,0.0,False,78,4,153,45,0.63,car,4.137931034482759
121,4,22.15,N/A,0.0,False,78,3,153,45,0.64,car,4.172413793103448
122,4,22.15,N/A,0.0,False,78,3,151,45,0.66,car,4.206896551724138
123,4,22.15,N/A,0.0,False,78,3,151,45,0.66,car,4.241379310344827
124,4,22.15,N/A,0.0,False,78,4,152,47,0.61,car,4.275862068965517
125,4,22.15,N/A,0.0,False,77,4,153,48,0.65,car,4.310344827586207
126,4,22.15,N/A,0.0,False,77,4,153,48,0.65,car,4.344827586206897
127,4,22.15,N/A,0.0,False,77,4,153,48,0.62,car,4.379310344827586
128,4,22.15,N/A,0.0,False,77,4,153,48,0.65,car,4.413793103448276
129,6,22.15,N/A,0.0,False,681,24,719,55,0.67,car,4.448275862068965
129,4,24.9,N/A,0.0,False,80,4,154,48,0.64,car,4.448275862068965
130,6,22.15,N/A,0.0,False,681,24,719,56,0.69,car,4.482758620689655
130,4,26.83,N/A,0.0,False,79,5,154,48,0.66,car,4.482758620689655
131,6,23.52,N/A,0.0,False,682,27,719,57,0.66,car,4.517241379310345
131,4,28.17,N/A,0.0,False,79,4,154,48,0.64,car,4.517241379310345
132,6,24.49,N/A,0.0,False,681,27,719,59,0.72,car,4.551724137931035
132,4,29.12,N/A,0.0,False,79,5,154,48,0.65,car,4.551724137931035
133,6,25.16,N/A,0.0,False,682,28,719,60,0.77,car,4.586206896551724
133,4,28.4,N/A,0.0,False,79,3,155,48,0.63,car,4.586206896551724
134,6,27.01,N/A,0.0,False,683,29,720,60,0.78,car,4.620689655172414
134,4,26.53,N/A,0.0,False,79,3,154,49,0.62,car,4.620689655172414
135,6,28.3,N/A,0.0,False,683,28,720,60,0.76,car,4.655172413793103
135,4,25.21,N/A,0.0,False,80,3,154,47,0.61,car,4.655172413793103
136,6,26.46,N/A,0.0,False,683,29,721,61,0.79,car,4.689655172413793
136,4,24.29,N/A,0.0,False,80,4,155,46,0.63,car,4.689655172413793
137,6,25.16,N/A,0.0,False,683,29,722,61,0.79,car,4.724137931034483
137,4,23.65,N/A,0.0,False,81,4,155,46,0.62,car,4.724137931034483
138,6,24.26,N/A,0.0,False,684,29,723,62,0.76,car,4.758620689655173
138,4,23.2,N/A,0.0,False,80,4,155,46,0.64,car,4.758620689655173
139,6,23.62,N/A,0.0,False,683,29,723,63,0.68,car,4.793103448275862
140,6,23.18,N/A,0.0,False,684,28,724,63,0.72,car,4.827586206896552
140,4,21.91,N/A,0.0,False,80,2,154,44,0.52,car,4.827586206896552
141,6,24.8,N/A,0.0,False,683,29,724,65,0.76,car,4.862068965517241
141,4,20.03,N/A,0.0,False,80,3,154,45,0.55,car,4.862068965517241
142,6,25.94,N/A,0.0,False,683,29,725,66,0.71,car,4.896551724137931
142,7,22.19,N/A,0.0,False,605,31,650,69,0.63,car,4.896551724137931
142,4,18.72,N/A,0.0,False,81,3,155,45,0.52,car,4.896551724137931
143,6,26.09,N/A,0.0,False,682,29,724,67,0.69,car,4.931034482758621
143,7,22.18,N/A,0.0,False,603,30,649,69,0.59,car,4.931034482758621
143,4,17.8,N/A,0.0,False,81,2,155,44,0.56,car,4.931034482758621
144,6,27.73,N/A,0.0,False,683,33,724,69,0.7,car,4.9655172413793105
144,7,22.18,N/A,0.0,False,604,31,649,70,0.58,car,4.9655172413793105
145,6,28.88,N/A,0.0,False,683,35,725,70,0.74,car,5.0
145,7,22.17,N/A,0.0,False,603,32,648,71,0.64,car,5.0
145,4,17.16,N/A,0.0,False,81,2,156,44,0.57,car,5.0
146,6,29.35,N/A,0.0,False,683,36,725,71,0.65,car,5.0344827586206895
146,4,17.16,N/A,0.0,False,81,2,155,44,0.58,car,5.0344827586206895
147,6,29.74,N/A,0.0,False,683,38,725,72,0.68,car,5.068965517241379
147,8,22.15,N/A,0.0,False,750,15,786,52,0.68,car,5.068965517241379
147,4,17.16,N/A,0.0,False,80,1,156,45,0.55,car,5.068965517241379
148,6,30.86,N/A,0.0,False,683,38,726,73,0.64,car,5.103448275862069
148,4,21.41,N/A,0.0,False,78,0,158,43,0.54,car,5.103448275862069
148,8,22.15,N/A,0.0,False,750,14,789,52,0.5,car,5.103448275862069
149,4,24.38,N/A,0.0,False,78,0,157,43,0.61,car,5.137931034482759
149,6,29.62,N/A,0.0,False,683,38,727,73,0.57,car,5.137931034482759
149,7,22.12,N/A,0.0,False,601,33,647,75,0.55,car,5.137931034482759
150,6,30.13,N/A,0.0,False,683,37,727,74,0.6,car,5.172413793103448
150,7,21.4,N/A,0.0,False,600,34,647,76,0.6,car,5.172413793103448
150,8,21.45,N/A,0.0,False,750,12,791,51,0.51,car,5.172413793103448
151,8,21.2,N/A,0.0,False,751,12,792,52,0.6,car,5.206896551724138
151,7,20.65,N/A,0.0,False,599,36,647,76,0.52,car,5.206896551724138
152,7,21.33,N/A,0.0,False,597,37,646,78,0.55,car,5.241379310344827
153,7,23.47,N/A,0.0,False,593,38,646,80,0.65,car,5.275862068965517
153,6,28.61,N/A,0.0,False,684,39,731,77,0.59,car,5.275862068965517
153,8,20.37,N/A,0.0,False,752,11,795,54,0.52,car,5.275862068965517
154,7,26.57,N/A,0.0,False,593,40,646,81,0.71,car,5.310344827586207
154,6,28.1,N/A,0.0,False,684,42,732,79,0.64,car,5.310344827586207
155,7,28.75,N/A,0.0,False,591,41,646,82,0.71,car,5.344827586206897
155,6,27.75,N/A,0.0,False,685,42,732,81,0.67,car,5.344827586206897
156,6,27.5,N/A,0.0,False,684,41,732,82,0.74,car,5.379310344827586
156,7,30.36,N/A,0.0,False,593,42,646,84,0.67,car,5.379310344827586
157,7,31.4,N/A,0.0,False,591,41,645,86,0.71,car,5.413793103448276
157,6,27.77,N/A,0.0,False,684,43,732,84,0.69,car,5.413793103448276
158,7,31.2,N/A,0.0,False,594,42,646,86,0.69,car,5.448275862068965
158,6,29.39,N/A,0.0,False,684,43,733,86,0.67,car,5.448275862068965
158,4,22.13,N/A,0.0,False,80,0,157,41,0.5,car,5.448275862068965
159,7,30.41,N/A,0.0,False,594,43,645,87,0.68,car,5.482758620689655
