frame_number,vehicle_id,speed,license_plate,is_overspeed,x1,y1,x2,y2,confidence
19,1,3.25,N/A,False,743,98,791,136,0.62
20,1,3.88,N/A,False,748,101,796,137,0.7
21,1,3.76,N/A,False,750,102,799,143,0.83
22,1,3.76,N/A,False,750,102,798,143,0.83
23,1,3.68,N/A,False,750,104,800,145,0.87
24,1,3.86,N/A,False,755,105,804,149,0.77
25,1,3.64,N/A,False,755,109,808,153,0.77
25,2,2.78,N/A,False,688,115,730,155,0.51
26,1,3.97,N/A,False,757,113,812,158,0.68
26,2,3.27,N/A,False,689,118,734,161,0.63
27,1,4.03,N/A,False,758,117,815,162,0.69
27,2,3.67,N/A,False,690,122,735,166,0.56
28,1,4.51,N/A,False,758,117,815,162,0.69
28,2,3.67,N/A,False,690,122,736,166,0.57
29,1,4.7,N/A,False,760,120,819,168,0.79
29,2,4.12,N/A,False,691,127,737,169,0.71
30,1,4.5,N/A,False,760,122,823,172,0.77
30,2,4.47,N/A,False,692,131,738,175,0.73
31,2,4.69,N/A,False,694,134,741,182,0.8
31,1,5.17,N/A,False,765,127,830,178,0.7
32,1,6.02,N/A,False,776,131,832,182,0.77
32,2,3.81,N/A,False,695,136,742,182,0.74
33,1,5.79,N/A,False,775,135,835,188,0.79
33,2,4.02,N/A,False,694,141,745,188,0.72
34,1,5.85,N/A,False,775,135,835,188,0.79
34,2,4.04,N/A,False,694,141,745,188,0.72
35,1,6.51,N/A,False,780,138,841,193,0.82
35,2,4.56,N/A,False,695,145,748,198,0.76
36,2,3.81,N/A,False,696,148,749,198,0.67
36,1,6.51,N/A,False,784,143,846,199,0.66
37,1,6.41,N/A,False,786,148,851,208,0.82
37,2,5.44,N/A,False,697,155,752,207,0.79
38,2,5.51,N/A,False,699,161,753,212,0.8
38,1,7.24,N/A,False,792,153,858,214,0.71
39,2,5.56,N/A,False,700,166,755,218,0.71
39,1,7.16,N/A,False,795,159,863,220,0.68
40,2,5.75,N/A,False,699,172,759,229,0.76
40,1,7.32,N/A,False,798,163,868,227,0.58
40,3,1.34,N/A,False,678,72,717,103,0.51
41,2,6.65,N/A,False,699,172,759,229,0.76
41,1,7.29,N/A,False,798,163,868,228,0.59
41,3,1.34,N/A,False,678,72,717,103,0.51
42,2,6.37,N/A,False,699,178,761,237,0.78
42,1,7.5,N/A,False,804,169,875,234,0.64
43,2,6.54,N/A,False,699,183,763,244,0.78
43,1,7.9,N/A,False,808,176,881,244,0.68
43,3,1.88,N/A,False,677,74,719,110,0.51
44,2,7.8,N/A,False,701,191,767,257,0.82
44,3,1.7,N/A,False,678,76,720,111,0.62
44,1,8.9,N/A,False,812,183,890,256,0.61
45,3,2.03,N/A,False,676,79,721,113,0.73
45,1,9.04,N/A,False,815,190,897,261,0.64
45,2,7.8,N/A,False,702,199,770,265,0.64
46,3,2.37,N/A,False,679,80,722,116,0.82
46,2,8.56,N/A,False,703,206,774,282,0.68
46,1,9.62,N/A,False,820,197,904,276,0.65
47,3,2.37,N/A,False,679,80,722,115,0.82
47,2,9.02,N/A,False,703,206,774,282,0.68
47,1,10.0,N/A,False,820,197,904,276,0.65
48,3,2.83,N/A,False,681,83,723,119,0.84
48,2,9.82,N/A,False,705,214,778,292,0.73
48,1,10.65,N/A,False,824,207,914,287,0.66
49,3,3.32,N/A,False,681,86,723,119,0.77
49,1,10.92,N/A,False,827,215,923,301,0.76
49,2,9.77,N/A,False,706,224,781,305,0.69
50,2,11.05,N/A,False,707,233,787,321,0.75
50,1,12.9,N/A,False,835,226,931,318,0.75
50,3,3.32,N/A,False,683,88,724,122,0.65
51,2,11.28,N/A,False,707,244,791,337,0.67
51,3,3.13,N/A,False,683,89,725,126,0.67
51,1,12.78,N/A,False,841,235,942,328,0.6
52,1,13.82,N/A,False,847,247,955,347,0.8
52,2,12.03,N/A,False,711,256,798,355,0.74
52,3,3.06,N/A,False,682,92,726,128,0.66
53,1,14.17,N/A,False,847,247,955,347,0.8
53,2,12.79,N/A,False,711,256,798,355,0.74
53,3,2.66,N/A,False,682,92,726,128,0.65
54,2,13.46,N/A,False,710,268,801,371,0.79
54,1,15.15,N/A,False,854,259,966,364,0.78
54,3,2.71,N/A,False,679,93,729,133,0.61
55,2,14.28,N/A,False,708,281,805,392,0.79
55,1,16.33,N/A,False,860,272,982,386,0.76
55,3,2.71,N/A,False,684,94,730,135,0.61
56,1,18.81,N/A,False,869,288,997,409,0.77
56,2,16.35,N/A,False,713,296,812,418,0.76
56,3,2.71,N/A,False,684,95,732,137,0.56
57,1,20.4,N/A,False,880,304,1013,436,0.75
57,2,18.14,N/A,False,710,313,822,447,0.73
57,3,3.06,N/A,False,686,97,734,143,0.59
58,1,21.13,N/A,False,888,320,1032,463,0.76
58,3,3.02,N/A,False,687,101,734,145,0.75
58,2,18.43,N/A,False,713,331,829,470,0.74
59,1,22.45,N/A,False,888,320,1032,463,0.76
59,3,3.06,N/A,False,687,101,735,145,0.75
59,2,19.7,N/A,False,713,331,829,470,0.74
60,1,24.69,N/A,False,900,337,1053,498,0.8
