frame_number,vehicle_id,speed,license_plate,is_overspeed,x1,y1,x2,y2,confidence
2,1,70.22,N/A,True,219,53,249,80,0.68
2,1,70.22,N/A,True,238,17,257,31,0.63
3,1,71.18,N/A,True,220,53,249,80,0.72
3,1,71.18,N/A,True,239,17,257,31,0.64
3,2,16.97,N/A,False,318,95,396,222,0.52
4,2,13.28,N/A,False,318,95,392,216,0.73
4,1,70.97,N/A,True,221,52,249,78,0.7
4,1,71.35,N/A,True,240,17,257,31,0.62
5,1,70.57,N/A,True,221,52,249,76,0.66
5,1,69.78,N/A,True,241,17,257,31,0.58
6,1,69.18,N/A,True,222,51,249,75,0.63
6,1,68.49,N/A,True,240,17,257,31,0.63
7,1,46.44,N/A,False,241,16,257,30,0.63
7,1,35.15,N/A,False,222,51,249,75,0.57
7,2,11.31,N/A,False,317,95,385,197,0.56
8,1,46.61,N/A,False,241,16,257,30,0.67
8,2,10.08,N/A,False,317,96,383,191,0.6
8,1,35.92,N/A,False,222,49,250,73,0.57
9,1,45.91,N/A,False,241,16,257,30,0.66
9,1,67.71,N/A,True,258,30,278,45,0.53
9,1,67.71,N/A,True,222,49,250,72,0.5
10,1,65.12,N/A,True,241,16,257,30,0.67
10,1,65.12,N/A,True,222,48,251,71,0.57
10,3,6.97,N/A,False,258,29,277,44,0.54
11,3,21.7,N/A,False,241,16,257,30,0.72
11,1,33.33,N/A,False,223,46,251,70,0.67
11,4,9.91,N/A,False,182,296,282,359,0.63
11,2,9.5,N/A,False,315,91,377,176,0.55
11,3,21.7,N/A,False,258,29,278,44,0.52
12,3,27.37,N/A,False,242,16,257,29,0.71
12,1,33.33,N/A,False,223,45,251,69,0.67
12,4,9.34,N/A,False,183,284,282,360,0.62
12,2,5.83,N/A,False,315,88,375,171,0.51
13,1,33.33,N/A,False,224,45,251,69,0.69
13,3,27.37,N/A,False,242,15,257,29,0.68
13,2,6.0,N/A,False,315,84,373,167,0.6
13,3,37.57,N/A,False,258,29,278,43,0.58
13,4,9.5,N/A,False,184,273,282,359,0.57
14,3,39.22,N/A,False,242,15,257,28,0.7
14,1,2.32,N/A,False,224,45,251,68,0.61
14,3,39.22,N/A,False,258,28,278,43,0.58
14,4,9.6,N/A,False,181,263,283,358,0.55
15,3,39.22,N/A,False,242,15,257,28,0.71
15,1,2.32,N/A,False,225,45,251,67,0.66
15,2,6.02,N/A,False,315,80,368,159,0.64
15,3,39.22,N/A,False,258,28,278,43,0.55
16,1,2.32,N/A,False,225,45,251,66,0.68
16,3,39.05,N/A,False,242,15,257,28,0.67
16,3,38.72,N/A,False,258,27,278,42,0.54
17,1,2.32,N/A,False,226,43,250,66,0.66
17,3,38.4,N/A,False,242,15,257,28,0.6
17,3,38.25,N/A,False,259,27,278,41,0.53
17,2,5.82,N/A,False,314,78,366,151,0.5
17,4,10.6,N/A,False,198,235,283,334,0.5
18,1,2.32,N/A,False,227,42,251,64,0.73
18,4,12.03,N/A,False,202,227,284,321,0.6
18,3,38.09,N/A,False,242,15,257,27,0.59
18,2,5.57,N/A,False,313,76,364,148,0.53
19,1,2.32,N/A,False,227,41,251,63,0.75
19,4,13.74,N/A,False,205,220,285,308,0.63
19,3,37.77,N/A,False,242,15,257,27,0.57
20,1,2.32,N/A,False,227,41,251,63,0.82
20,2,5.38,N/A,False,313,69,362,142,0.6
20,3,37.77,N/A,False,243,15,257,27,0.54
20,4,15.04,N/A,False,207,212,285,297,0.51
20,3,37.77,N/A,False,259,25,278,40,0.5
21,4,15.69,N/A,False,210,205,285,287,0.78
21,1,2.32,N/A,False,227,40,251,62,0.74
21,3,37.77,N/A,False,259,25,278,40,0.51
21,3,37.77,N/A,False,243,14,257,26,0.51
22,4,15.74,N/A,False,212,198,286,276,0.77
22,1,2.32,N/A,False,228,40,251,61,0.74
22,3,34.61,N/A,False,259,24,278,39,0.52
23,1,2.32,N/A,False,228,40,251,61,0.7
23,2,4.76,N/A,False,312,66,357,132,0.63
23,4,14.94,N/A,False,212,193,286,266,0.59
24,4,13.91,N/A,False,211,187,286,257,0.76
24,2,4.31,N/A,False,312,64,356,130,0.66
24,1,2.32,N/A,False,228,39,252,60,0.56
25,4,13.11,N/A,False,217,182,286,249,0.71
25,1,2.32,N/A,False,229,38,251,58,0.56
25,3,34.61,N/A,False,260,23,278,39,0.51
25,2,4.41,N/A,False,311,63,354,127,0.51
26,1,2.32,N/A,False,229,38,252,58,0.7
26,2,4.13,N/A,False,311,62,353,124,0.56
26,4,12.86,N/A,False,220,176,286,241,0.55
26,3,34.61,N/A,False,260,23,278,38,0.5
27,1,2.32,N/A,False,229,38,252,58,0.71
27,2,3.63,N/A,False,311,61,353,121,0.63
27,4,12.15,N/A,False,222,171,286,232,0.59
28,1,2.32,N/A,False,229,38,252,57,0.68
28,2,3.63,N/A,False,311,59,352,119,0.65
29,1,2.32,N/A,False,230,37,252,57,0.56
29,4,11.36,N/A,False,226,160,286,220,0.52
30,4,11.04,N/A,False,228,155,286,213,0.7
30,1,3.28,N/A,False,230,35,252,55,0.55
30,2,3.72,N/A,False,310,60,352,116,0.51
30,2,3.41,N/A,False,310,58,351,116,0.5
31,4,10.18,N/A,False,229,151,286,208,0.71
31,2,3.47,N/A,False,310,59,351,113,0.56
31,1,3.28,N/A,False,230,34,252,54,0.53
32,4,9.46,N/A,False,231,147,286,201,0.67
32,1,3.28,N/A,False,230,34,252,54,0.59
32,2,3.67,N/A,False,309,60,349,109,0.56
33,4,8.82,N/A,False,232,144,286,195,0.76
33,1,3.28,N/A,False,230,33,252,54,0.65
33,2,2.99,N/A,False,309,60,347,107,0.53
34,4,8.34,N/A,False,231,139,286,192,0.77
34,1,3.28,N/A,False,230,33,252,53,0.66
34,2,3.22,N/A,False,309,58,346,104,0.57
35,4,7.81,N/A,False,235,136,285,186,0.74
35,1,3.28,N/A,False,230,33,253,53,0.63
35,2,2.99,N/A,False,308,57,345,103,0.51
36,4,7.84,N/A,False,236,132,286,180,0.72
36,1,3.28,N/A,False,230,32,252,52,0.61
