frame_number,vehicle_id,speed,license_plate,is_overspeed,x1,y1,x2,y2,confidence
12,1,0,N/A,False,732,86,774,120,0.54
18,2,0,N/A,False,741,95,788,134,0.53
19,3,0,N/A,False,743,98,791,136,0.62
20,4,0,N/A,False,748,101,796,137,0.7
21,5,0,N/A,False,750,102,799,143,0.83
22,6,0,N/A,False,750,102,798,143,0.83
23,7,0,N/A,False,750,104,800,145,0.87
23,8,0,N/A,False,685,110,727,151,0.53
24,9,0,N/A,False,755,105,804,149,0.77
24,10,0,N/A,False,686,112,729,153,0.55
25,11,0,N/A,False,755,109,808,153,0.77
25,12,0,N/A,False,669,58,704,82,0.57
25,13,0,N/A,False,688,115,730,155,0.51
26,14,0,N/A,False,757,113,812,158,0.68
26,15,0,N/A,False,689,118,734,161,0.63
26,16,0,N/A,False,670,58,705,83,0.55
27,17,0,N/A,False,758,117,815,162,0.69
27,18,0,N/A,False,690,122,735,166,0.56
28,19,0,N/A,False,758,117,815,162,0.69
28,20,0,N/A,False,690,122,736,166,0.57
29,21,0,N/A,False,760,120,819,168,0.79
29,22,0,N/A,False,691,127,737,169,0.71
30,23,0,N/A,False,760,122,823,172,0.77
30,24,0,N/A,False,692,131,738,175,0.73
31,25,0,N/A,False,694,134,741,182,0.8
31,26,0,N/A,False,765,127,830,178,0.7
32,27,0,N/A,False,776,131,832,182,0.77
32,28,0,N/A,False,695,136,742,182,0.74
33,29,0,N/A,False,775,135,835,188,0.79
33,30,0,N/A,False,694,141,745,188,0.72
34,31,0,N/A,False,775,135,835,188,0.79
34,32,0,N/A,False,694,141,745,188,0.72
35,33,0,N/A,False,780,138,841,193,0.82
35,34,0,N/A,False,695,145,748,198,0.76
36,35,0,N/A,False,696,148,749,198,0.67
36,36,0,N/A,False,784,143,846,199,0.66
37,37,0,N/A,False,786,148,851,208,0.82
37,38,0,N/A,False,697,155,752,207,0.79
38,39,0,N/A,False,699,161,753,212,0.8
38,40,0,N/A,False,792,153,858,214,0.71
39,41,0,N/A,False,700,166,755,218,0.71
39,42,0,N/A,False,795,159,863,220,0.68
40,43,0,N/A,False,699,172,759,229,0.76
40,44,0,N/A,False,798,163,868,227,0.58
40,45,0,N/A,False,678,72,717,103,0.51
41,46,0,N/A,False,699,172,759,229,0.76
41,47,0,N/A,False,798,163,868,228,0.59
41,48,0,N/A,False,678,72,717,103,0.51
42,49,0,N/A,False,699,178,761,237,0.78
42,50,0,N/A,False,804,169,875,234,0.64
43,51,0,N/A,False,699,183,763,244,0.78
43,52,0,N/A,False,808,176,881,244,0.68
43,53,0,N/A,False,677,74,719,110,0.51
44,54,0,N/A,False,701,191,767,257,0.82
44,55,0,N/A,False,678,76,720,111,0.62
44,56,0,N/A,False,812,183,890,256,0.61
